,created_at,full_text,antisemitismo,retweet_count,favorite_count,user.screen_name,user.followers_count,user.favourites_count,WD,X,MO,NB,RELI,RIQ,NAC,NAZI,label
0,Fri Apr 21 22:03:04 +0000 2023,"@emicoroniti De hecho ese movimiento nade de las ideas de un militar fascista seguidor de hitler y Stalin, persigui torturo, secuestro, desaparecio y mato gente que pensaba distinta, le robo a unos clase media para dalr a otros, espio a los trabajadores, adonctrino",-2,0,0,leoRock72296012,94,6183,,,,,,,,,0
1,Wed Jun 29 21:15:00 +0000 2022,"Durante la conferencia matutina de este miércoles, López Obrador se burló  de la priista Beatriz Pages y el actor Carlos Alazraki a quien señalo de ser “hitleriano”.
https://t.co/zjCp5PU551",-2,6,21,RicardoAlemanMx,232279,4390,,,,,,,,,0
2,Sat May 28 06:22:58 +0000 2022,"@alexandravlvrd Y curiosamente en su mayoría algo tienen que ver con Hitler y el régimen Nazi, mira que de la IIGM ni el tema de Japón lo tocan tanto como al señor este",-2,0,1,Hi_MissJazz,681,4760,,,,,,,,,0
3,Fri May 26 04:35:56 +0000 2023,"@M4ntillAle @Israel_BuenaFe Si, es culpa del bloqueo definitivamente",-2,0,0,VilarAlfonso,469,32229,,,,,,,,,0
4,Wed May 03 16:56:42 +0000 2023,"🇲🇽🇮🇱 ""Nunca perdemos el amor a la comida mexicana"", señaló Rosa a @Andres_h_mtz, al contar su experiencia de emprendedora gastronómica en Israel, donde vive hace 15 años. 
🌮🫔🌯Su cocina (tortillas, tacos, mole) llega a todo Israel, detalló. https://t.co/4wp2N0yyF9",-2,1,1,ConectaArizona,1457,3523,,,,,,,,,0
5,Wed Jun 29 22:05:11 +0000 2022,"La comunidad judía en México, la más productiva del mundo, merece respeto absoluto.
Exijo, que el Barbaján que despacha en el Palacio del Yerro, se disculpe públicamente.
Basta de bajezas.
Y le pido a la comunidad, que le levante la canasta al régimen.
¡Ya basta!
#ElCacasEsNazi https://t.co/cTO2ABTYzl",-2,148,294,ChairosY,47723,328285,,,,,,,,,0
6,Tue Jun 14 01:09:19 +0000 2022,@jet1403 @laoctavadigital La Judía es la candidata de la twitosfera chilanga.,2,0,0,AvalosNegroe,55,7859,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
7,Sat Apr 22 16:59:29 +0000 2023,Muchas gesticulaciones de Hitler! https://t.co/NPResAkmUI,0,0,1,anthonymaxbass,320,9861,,,,,,,,,0
8,Wed May 17 23:45:46 +0000 2023,"@AXELKAISER Hitler en su libro ""mi lucha"" expresa que leyó todo sobre el comunismo y no porque fuera comunista si no para tener argumentos para atacarlo, odiaba al comunismo",-2,0,0,finsan795,96,5336,,,,,,,,,0
9,Sat May 20 22:57:19 +0000 2023,@Claudiashein maldita Judía. https://t.co/INppsdWQQ6,2,0,0,FerTorres890,697,23219,-2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
10,Mon May 22 16:32:10 +0000 2023,@Mombli82 Q tiene q ver vini con esto lo hizo el ? Pregunto y por eso merece q le digan  negro de ... o mono esto lo justifica? Entonces Hitler mato a los judios pq estaba limpiando la raza,1,0,0,elisa53130523,90,38023,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,1
11,Thu Jun 16 03:47:27 +0000 2022,@petrogustavo El viejo cada vez que hablar delata su deterioro mental que va querer debatir se le Sale El Hitler,-2,0,0,fabian1525,6,15,,,,,,,,,0
12,Sun Apr 23 01:19:44 +0000 2023,"@FrancoDespecho @VillaFernando_ También me recordó a Hitler, me ahorraste buscar el gif",0,0,0,saulx99,66,3111,,,,,,,,,0
13,Mon Jun 13 23:22:40 +0000 2022,Hostia si es Hitler. https://t.co/dhmfAaxPJ6,0,1,2,MissLiar_,1280,18159,,,,,,,,,0
14,Mon May 01 12:48:39 +0000 2023,"El gobierno asocial comunista de Tito Sánchez Frías y Del Che Coletas siguen promoviendo la vacuna para congraciarse con SOROS, que basura y que son del pueblo

https://t.co/L2hkS7Ei2M",1,0,0,justoconstante,1218,41649,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
15,Sun Apr 30 15:10:23 +0000 2023,"@elmundoes ¿ NO les Parece Repugnante 
que el Panfleto Comunista LO MONDO 
DIGA que la FOX da Fake News ? 
LO MONDO auténtica Basura de SOROS 
a estos hijoputas o 
los han Comprado o 
son Subnormales Profundos o 
las 2 Cosas 
salen hasta en LA SEXTA",1,0,0,LAntisistema22,562,10456,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
16,Sun Apr 23 16:39:29 +0000 2023,@ferbelaunzaran @AlejandraDMV Callate pinche vulgar financiado desde Israel,2,0,0,CesarVazquezLaw,532,17015,2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,1
17,Thu Jun 01 09:27:06 +0000 2023,"@jozanmanci @ASAIZ8 @ampasmo Por supuesto que existen los buenos y los malos: Acaso Hitler no era el malo?

Bueno, pues Putin es igual que Hitler, solo que Hitler tenía armamento moderno, no usaba avalanchas humanas como único recurso, y era mejor orador y motivador.

De nada. https://t.co/RnFiAkVNhH",-2,0,1,Lombrizenbici,9,4363,,,,,,,,,0
18,Sun Jun 12 05:14:52 +0000 2022,"@DanteFontana3 El Primero en llegar al Sitio ..!!! ADOLF HITLER ...Que Semejanza y particularnente .. parecido a un pais Sudamericano que un dia fue Rico .,Prospero ......",0,0,0,JorgeAliJoyce1,332,5079,,,,,,,,,0
19,Thu May 18 23:10:56 +0000 2023,"@Antonia82731913 @antonio_vgc Tranquila, no podrán jodernos más de tres años y medio, lo dice la Biblia. Despues irán directos a hacer compañía a Stalin y Hitler, para siempre( si no se arrepienten antes, que lo dudo)",0,0,2,papuchipuch,682,32595,,,,,,,,,0
20,Wed May 17 20:50:30 +0000 2023,@LRsecreta Están dejando a Hitler a la altura del betún,0,0,8,MJBarahonag,203,6074,,,,,,,,,0
